Array Size,Average Time (microseconds)
0,0
10,0
20,0.001
30,0.806
40,1.198
50,1.971
60,2.735
70,3.652
80,3.525
90,3.9
100,5.348
110,5.725
120,6.867
130,8.324
140,9.485
150,11.348
160,11.879
170,16.913
180,19.863
190,16.626
200,18.353
210,20.191
220,27.144
230,37.374
240,40.649
250,43.775
260,46.636
270,69.332
280,54.655
290,39.296
300,40.608
310,55.782
320,47.645
330,48.475
340,51.5
350,54.278
360,57.364
370,66.149
380,64.101
390,70.836
400,70.802
410,74.018
420,77.992
430,81.564
440,85.745
450,113.354
460,122.465
470,97.021
480,101.372
490,108.004
500,109.85
510,113.576
520,134.026
530,123
540,143.759
550,197.348
560,157.986
570,142.055
580,146.637
590,152.637
600,156.548
610,179.398
620,191.027
630,202.677
640,194.132
650,207.463
660,212.801
670,215.837
680,226.659
690,210.822
700,211.951
710,218.428
720,229.132
730,245.618
740,289.105
750,243.665
760,252.134
770,256.161
780,261.982
790,287.736
800,276.158
810,296.778
820,303.825
830,342.482
840,303.369
850,312.753
860,356.404
870,388.407
880,355.917
890,341.41
900,371.615
910,395.977
920,378.481
930,451.985
940,399.984
950,386.932
960,426.756
970,427.695
980,429.201
990,439.527
1000,479.97
