Array Size,Average Time (microseconds)
0,0
10,0.026
20,1.807
30,1.53
40,2.219
50,3.008
60,4.198
70,5.182
80,5.378
90,6.083
100,7.041
110,8.168
120,8.602
130,9.384
140,10.97
150,11.197
160,12.043
170,13.354
180,24.214
190,35.821
200,25.944
210,28.965
220,27.891
230,55.196
240,30.54
250,32.365
260,33.565
270,35.121
280,36.024
290,35.114
300,37.275
310,36.184
320,26.721
330,28.314
340,28.09
350,30.743
360,29.206
370,30.443
380,31.665
390,32.42
400,43.484
410,38.103
420,35.195
430,35.607
440,36.199
450,37.005
460,43.377
470,40.176
480,39.842
490,60.524
500,50.116
510,66.978
520,72.729
530,78.49
540,51.116
550,46.614
560,47.9
570,69.414
580,49.614
590,54.033
600,51.844
610,52.579
620,53.329
630,54.031
640,54.646
650,56.162
660,56.946
670,57.55
680,81.502
690,67.843
700,60.485
710,60.674
720,62.019
730,63.1
740,66.923
750,97.98
760,71.773
770,65.192
780,66.852
790,70.703
800,94.603
810,76.259
820,71.362
830,72.015
840,73.839
850,75.798
860,78.575
870,75.543
880,75.822
890,76.323
900,77.468
910,87.358
920,80.456
930,96.158
940,82.121
950,83.208
960,83.43
970,89.039
980,85.712
990,86.536
1000,87.599
