Array Size,Average Time (microseconds)
0,0
10,0
20,1.005
30,1.776
40,2.257
50,2.054
60,3.136
70,3.419
80,4.106
90,4.955
100,6.22
110,7.927
120,8.492
130,7.944
140,8.891
150,9.868
160,10.218
170,11.142
180,12.974
190,20.252
200,19.558
210,20.342
220,19.318
230,16.506
240,16.899
250,17.951
260,18.831
270,19.434
280,20.768
290,21.62
300,22.192
310,25.901
320,38.712
330,32.133
340,50.015
350,33.421
360,41.056
370,34.655
380,29.511
390,30.655
400,32.144
410,41.685
420,38.484
430,33.946
440,34.931
450,35.965
460,37.409
470,41.532
480,40.371
490,39.6
500,41.265
510,41.511
520,42.35
530,43.609
540,44.756
550,45.542
560,46.359
570,47.564
580,48.373
590,49.299
600,50.085
610,51.553
620,54.547
630,58.997
640,78.03
650,57.721
660,59.759
670,78.323
680,72.691
690,59.112
700,74.416
710,68.026
720,66.793
730,102.571
740,69.433
750,71.579
760,114.852
770,88.136
780,69.446
790,70.156
800,70.388
810,72.912
820,76.394
830,73.398
840,76.017
850,76.332
860,77.581
870,105.823
880,129.53
890,118.893
900,80.983
910,81.704
920,87.365
930,83.81
940,85.647
950,85.838
960,87.208
970,100.045
980,109.103
990,92.763
1000,92.322
