n, time
0,32
10,40
20,50
30,61
40,76
50,85
60,122
70,108
80,117
90,128
100,131
110,139
120,148
130,166
140,173
150,187
160,197
170,204
180,216
190,226
200,291
210,247
220,276
230,317
240,312
250,302
260,309
270,308
280,318
290,326
300,338
310,351
320,381
330,388
340,383
350,490
360,441
370,478
380,433
390,453
400,442
410,450
420,510
430,487
440,723
450,492
460,533
470,697
480,518
490,546
500,558
510,602
520,761
530,626
540,597
550,593
560,602
570,615
580,645
590,725
600,761
610,1502
620,813
630,810
640,817
650,771
660,836
670,800
680,736
690,740
700,750
710,772
720,792
730,912
740,974
750,821
760,817
770,814
780,850
790,1020
800,871
810,947
820,1247
830,904
840,1046
850,2162
860,1101
870,1109
880,1127
890,1861
900,1129
910,1132
920,997
930,1125
940,1025
950,997
960,1025
970,1170
980,1059
990,1041
1000,1056
1010,1067
1020,1101
1030,1527
1040,1095
1050,1153
1060,1140
1070,1215
1080,1150
1090,1141
1100,1167
1110,1416
1120,1833
1130,1320
1140,1232
1150,1306
1160,1213
1170,1240
1180,1436
1190,1356
1200,1416
1210,1265
1220,1294
1230,1285
1240,1322
1250,1374
1260,1394
1270,1333
1280,1368
1290,1606
1300,1427
1310,1387
1320,1452
1330,1601
1340,1575
1350,1574
1360,1508
1370,1423
1380,1482
1390,1554
1400,1463
1410,1488
1420,1760
1430,1749
1440,1696
1450,4606
1460,2033
1470,2729
1480,1878
1490,1844
1500,1660
1510,1617
1520,1686
1530,1619
1540,1613
1550,1685
1560,1721
1570,1634
1580,1655
1590,1746
1600,1723
1610,1674
1620,1698
1630,2030
1640,2010
1650,2065
1660,1880
1670,1925
1680,1993
1690,2003
1700,2022
1710,2066
1720,2452
1730,2050
1740,2092
1750,2166
1760,2079
1770,2131
1780,2094
1790,8141
1800,2180
1810,2211
1820,2783
1830,2212
1840,2257
1850,2251
1860,2240
1870,2265
1880,2245
1890,2274
1900,2289
1910,2318
1920,2272
1930,2303
1940,2296
1950,2419
1960,2338
1970,2333
1980,2399
1990,2434
2000,2411
2010,2446
2020,2405
2030,2494
2040,2482
2050,2465
2060,2448
2070,2427
2080,2463
2090,10749
2100,2480
2110,2580
2120,5890
2130,2542
2140,2598
2150,5884
2160,2590
2170,2649
2180,10597
2190,2616
2200,4008
2210,2558
2220,2712
2230,2642
2240,2690
2250,2789
2260,2833
2270,2728
2280,2792
2290,4071
2300,2849
2310,2726
2320,3240
2330,4097
2340,3838
2350,2873
2360,4912
2370,2812
2380,5355
2390,3647
2400,4242
2410,2970
2420,3348
2430,3436
2440,4023
2450,2978
2460,3218
2470,2966
2480,3417
2490,3148
2500,3516
2510,4825
2520,3196
2530,3181
2540,3009
2550,3535
2560,3070
2570,3533
2580,3230
2590,3548
2600,3150
2610,3645
2620,3150
2630,3589
2640,3165
2650,6550
2660,3158
2670,4182
2680,3177
2690,4465
2700,3213
2710,4213
2720,3302
2730,4286
2740,4629
2750,4053
2760,4092
2770,3397
2780,4217
2790,3460
2800,4127
2810,3378
2820,4338
2830,3616
2840,4466
2850,3419
2860,4467
2870,4774
2880,4173
2890,5285
2900,4239
2910,3938
2920,4237
2930,3503
2940,4216
2950,3725
2960,4433
2970,3525
2980,4129
2990,3585
3000,4242
3010,3656
3020,5908
3030,3618
3040,4484
3050,3699
3060,4377
3070,5800
3080,4302
3090,4313
3100,3673
3110,4185
3120,3765
3130,8426
3140,3721
3150,4430
3160,3836
3170,4261
3180,5196
3190,4171
3200,3476
3210,3333
3220,3405
3230,3395
3240,3792
3250,3839
3260,3475
3270,3832
3280,3454
3290,3518
3300,3468
3310,3502
3320,3486
3330,3529
3340,3513
3350,3606
3360,3482
3370,3597
3380,3490
3390,3600
3400,3671
3410,3533
3420,4408
3430,3947
3440,4073
3450,3980
3460,6968
3470,9637
3480,12000
3490,5255
3500,16308
3510,6593
3520,12171
3530,4155
3540,11739
3550,4236
3560,10596
3570,7408
3580,7720
3590,6387
3600,4864
3610,4707
3620,5340
3630,5567
3640,13374
3650,12125
3660,4581
3670,8742
3680,18730
3690,6963
3700,7156
3710,7466
3720,4477
3730,5623
3740,30507
3750,4932
3760,5639
3770,8277
3780,6885
3790,4725
3800,4112
3810,4104
3820,3968
3830,4293
3840,4024
3850,4339
3860,3970
3870,4245
3880,4406
3890,4174
3900,4027
3910,4163
3920,4040
3930,4186
3940,4080
3950,4220
3960,4306
3970,4385
3980,4224
3990,4288
4000,4264
4010,4316
4020,4154
4030,4439
4040,4153
4050,4255
4060,4192
4070,4285
4080,4230
4090,4340
4100,4221
4110,4534
4120,4253
4130,4358
4140,4426
4150,4415
4160,4278
4170,4392
4180,4324
4190,4430
4200,4589
4210,4536
4220,4394
4230,4637
4240,4407
4250,4499
4260,4475
4270,4540
4280,4450
4290,4514
4300,4431
4310,5059
4320,5415
4330,4528
4340,4592
4350,4617
4360,4493
4370,4767
4380,4619
4390,4749
4400,4535
4410,4879
4420,5110
4430,5162
4440,5030
4450,4803
4460,4684
4470,4907
4480,4614
4490,4739
4500,4651
4510,4864
4520,4674
4530,4745
4540,4740
4550,4846
4560,4727
4570,4876
4580,4751
4590,4850
4600,4750
4610,4830
4620,4785
4630,4884
4640,4776
4650,4958
4660,4892
4670,4941
4680,4849
4690,4935
4700,4839
4710,4945
4720,4930
4730,5030
4740,4956
4750,4981
4760,4896
4770,5001
4780,5066
4790,5053
4800,4944
4810,5038
4820,4960
4830,5095
4840,5064
4850,5345
4860,5008
4870,5093
4880,5015
4890,6304
4900,5105
4910,5176
4920,5146
4930,5139
4940,5176
4950,5237
4960,5247
4970,6008
4980,5903
4990,5945
5000,7018
5010,7079
5020,6807
5030,6265
5040,5519
5050,5454
5060,5951
5070,6186
5080,5701
5090,5385
5100,5393
5110,5348
5120,5385
5130,5341
5140,5378
5150,5370
5160,5415
5170,5388
5180,5574
5190,5818
5200,6300
5210,5545
5220,5512
5230,5675
5240,5599
5250,5924
5260,5511
5270,5515
5280,5575
5290,6029
5300,5551
5310,5973
5320,5722
5330,5606
5340,11158
5350,6714
5360,6882
5370,6071
5380,5778
5390,5995
5400,5935
5410,5698
5420,5706
5430,5706
5440,5723
5450,5748
5460,5744
5470,5708
5480,5770
5490,6025
5500,5791
5510,5875
5520,5714
5530,5866
5540,5779
5550,5833
5560,5863
5570,5870
5580,5825
5590,5870
5600,5934
5610,6134
5620,5918
5630,6529
5640,6677
5650,6716
5660,6816
5670,6678
5680,6723
5690,6675
5700,6715
5710,6718
5720,6768
5730,7130
5740,7598
5750,6908
5760,6894
5770,6808
5780,10132
5790,6867
5800,6848
5810,6898
5820,6839
5830,6907
5840,6241
5850,6435
5860,6275
5870,6196
5880,6156
5890,6185
5900,6198
5910,6358
5920,6375
5930,6197
5940,6243
5950,6236
5960,6282
5970,6396
5980,6359
5990,6266
6000,6279
6010,6347
6020,6685
6030,6929
6040,6443
6050,6559
6060,6396
6070,6506
6080,6430
6090,6630
6100,6398
6110,6389
6120,6413
6130,6527
6140,6448
6150,6425
6160,6504
6170,6486
6180,6851
6190,6615
6200,6565
6210,6470
6220,6588
6230,6502
6240,6566
6250,6572
6260,6645
6270,6521
6280,6695
6290,6691
6300,6812
6310,6556
6320,6614
6330,6685
6340,6640
6350,6725
6360,6614
6370,6686
6380,6772
